"id","nome_salao","instagram_salao","whatsapp_salao","qtd_total_cabeleireiras","qtd_aplicadoras_gloss","estoque_bisnagas","latitude","longitude","endereco_google","place_id_google","categoria","status","aplicacoes_totais","data_proxima_compra","profissionais_certificados","cep","uf","cidade","bairro","rua","numero","salao_id","dono","createdAt","updatedAt","qtd_aplicacoes_semana","sorteio","data_expiracao","data_ultima_compra","deletedAt"
"0ecab868-a24f-4429-bd77-0ba6417026ad","Stúdio Eliana Marques Hair Specialist","@elianamarquespro","11945924673",1,1,8,"-23.54103410","-46.59147930","R. Dr. Clementino, 455 - Belenzinho, São Paulo - SP, 03059-030, Brazil","ChIJ5Z6m-tJezpQRtu1rSeBEkd8","sem categoria","ativo",56,"2025-12-27",NULL,"03059030","SP","São Paulo","Belenzinho","Rua Doutor Clementino","455","7bb3fc0f-6d04-434c-95fc-cb0646491eb3","d17a512e-7357-48d4-a370-bc8f83f57887","2025-09-24 13:33:46.634+00","2025-11-12 23:11:16.386+00",1,False,NULL,"2025-11-12",NULL
"315191d3-da38-43cd-aa93-221938132cd3","Lu importados","@luimportados","14997025418",2,2,20,"-23.02447990","-48.01032490","R. das Violetas, 17 - Jardim Bela Vista, Conchas - SP, 18570-000, Brazil","ChIJkxiC93FexpQRD06hf4oGvkk","salao certificado","ativo",336,"2026-03-05",NULL,"18572130","SP","Conchas","Jardim Bela Vista","Rua das Violetas","17","cc5f69d8-8b95-4d4f-bec4-92f2803d6bdf","e67d158c-85ba-43a6-a222-7f92ed3b76a3","2025-07-24 20:50:31.157+00","2025-11-13 00:14:27.543+00",21,True,NULL,"2025-11-12",NULL
"1983bd6d-1897-4132-935b-cbbe7b56779b","Graça Castro","@gracecastros","68999856951",1,1,1,"-9.93676740","-67.82873190","R. Cedro, 110 - Novo Horizonte, Rio Branco - AC, 69921-120, Brasil","ChIJl1p3tXWMf5ERVf5poJpPUzc","sem categoria","ativo",NULL,NULL,1,"69921120","AC","Rio Branco","Loteamento Novo Horizonte","Rua Cedro","110",NULL,"f59646c4-72ff-4040-b5cd-de54944dbbe6","2025-12-10 02:40:00.306+00","2025-12-10 02:40:00.306+00",1,False,NULL,NULL,NULL
"faabeb1d-bfcd-43ba-ba35-e852a1bba60b","Hair designer Kaká torres","@hairdesignerkakatorres","85992173402",1,1,1,"-20.47370170","-54.57607750","R. Panambi, 687 - Tiradentes, Campo Grande - MS, 79041-170, Brasil","ChIJJwGIX9LohpQRIC0_qWwrcIQ","sem categoria","ativo",NULL,NULL,1,"79041170","MS","Campo Grande","Tiradentes","Rua Panambi","687",NULL,"6076ccd0-1fcf-4d13-ae33-927099ceb2d1","2025-12-10 17:24:53.618+00","2025-12-10 17:24:53.618+00",1,False,NULL,NULL,NULL
"680a82ac-c099-4729-98dc-a60071cb4fd5","Rute Cardoso","@rutecardososalao","17982160841",2,2,3,"-20.79476850","-49.40795750","R. Otília Teixeira Benvindo, 2992 - Eldorado, São José do Rio Preto - SP, 15040-214, Brasil","ChIJdzkxramtvZQRjlvNOHQEU80","embaixador","ativo",584,"2025-11-14",NULL,"15040214","SP","São José do Rio Preto","Eldorado","Rua Otília Teixeira Benvindo","2992","252f8170-e8e0-46ea-8b1b-2872410841b1","4acf3d28-33be-4210-9915-f11738971788","2025-08-05 19:02:48.38+00","2025-09-09 20:43:45.962+00",NULL,True,NULL,NULL,NULL
"6fd95c41-19de-4b9c-9436-519170b8a1c1","Ebella ","@studiodebelezaebella","83991228682",0,0,0,"-6.76740030","-38.23435680","R. Dom Pedro I, 1 - Estacao, Sousa - PB, 58807-340, Brasil","ChIJ038eUQpcpAcRe_j36Qd7VUY","sem categoria","ativo",NULL,NULL,NULL,"58807340","PB","Sousa","Estacao","Rua Dom Pedro I","1",NULL,"33d1c27d-297c-4593-96bc-0413cd76a0fe","2025-11-21 17:21:50.673+00","2025-11-21 17:23:23.764+00",NULL,False,NULL,NULL,NULL
"f0fa0f1a-9845-4a3b-822e-399acbba7cae","Salão Espaço Poli","@salaoespacopoli","66984253378",2,1,1,"-11.25484680","-57.50701930","R. José Martins, 177 - Centro, Juara - MT, 78575-000, Brazil","ChIJmQRoiYJxr5MRejftExLWgdc","sem categoria","ativo",60,"2026-06-21",NULL,"78575000","MT","Juara","Centro ","Rua José Martins ","177","90dcf30f-d29d-4f07-a7d4-92cc52ccdb74","d8b71060-9c6e-459a-a3fa-6d2465cb8a77","2025-08-22 23:48:04.103+00","2025-08-25 21:57:38.713+00",2,False,NULL,NULL,NULL
"6ae77533-9353-4597-a5cf-f048a29d1fad","Vivenza studio","@vivenzastudio","94992104974",1,1,8,"-5.34512050","-49.07812080","Nova Marabá, Marabá - PA, 68504-100, Brazil","ChIJBeBxF1egw5IR-gkAv0yWjxQ","sem categoria","ativo",32,"2026-04-29",NULL,"68507640","PA","Marabá","Nova Marabá","Folha 31 Quadra Doze lote 22","000","0be0c914-3428-4bdd-8064-4efc874bd1af","7cd2c084-d501-459e-aff8-dac580359f00","2025-09-17 11:39:25.027+00","2025-09-17 11:39:25.027+00",1,True,NULL,NULL,NULL
"0e343927-d240-470c-8317-8f2a48765979","Espaço TCapilar Viviane Santos","@vivianeterapiacapilar","67992415914",1,1,2,"-20.48597540","-54.57886760","R. Antônio Carlos do Valê, 49 - Jardim Itatiaia, Campo Grande - MS, 79042-100, Brazil","ChIJRZumXTDvhpQRaZzr-MJ4GTI","sem categoria","ativo",80,"2025-10-11",NULL,"79042100","MS","Campo Grande","Jardim Itatiaia","Rua Antônio Carlos do Vale","49","a87961d3-f939-4dab-826c-2aa8221c1b5a","4152aeac-c89d-4084-905b-005e27487e77","2025-08-16 21:29:40.852+00","2025-08-16 21:29:40.852+00",1,True,NULL,NULL,NULL
"3b5a917f-53a5-44f1-b205-ca21c71ee6a8","Studio Dona Onça","@donaoncastudio","12987013090",3,3,10,"-23.20239680","-45.95323780","Av. Antônio Widmer, 835 - Urbanova, São José dos Campos - SP, 12244-873, Brazil","ChIJ18WV2iU0zJQRU2eTkVBGGqI","sem categoria","ativo",120,"2025-12-26",NULL,"12244873","SP","São José dos Campos","Urbanova V","Avenida Antonio Widmer","835","40ab833c-60cd-435c-bb9b-67e14ec6f3ea","4178d71f-a6ec-4d9a-a444-8ec5ffc96c52","2025-08-05 02:10:35.795+00","2025-10-31 12:28:18.271+00",5,False,NULL,NULL,NULL
"5fbf5af4-8050-43a6-91fb-61e0ec90f151","Studio Drika Dias","@studiodrikadias","11965519913",3,3,4,"-23.45326900","-46.54060160","R. Vera, 157 - Jardim Santa Mena, Guarulhos - SP, 07096-020, Brazil","ChIJDTEYUhH1zpQR7RXYr082qHo","sem categoria","ativo",320,"2025-11-02",NULL,"07096020","SP","Guarulhos","Jardim Santa Mena","Rua Vera","157","41169fb1-f63a-405a-bb50-c0d71e9f7d81","065f18e9-d51e-410d-955a-fb26dac133bf","2025-09-02 16:46:03.482+00","2025-09-02 18:39:08.754+00",6,False,NULL,NULL,NULL
"1ae4314a-7123-4956-926e-b0851299d93e","Salão Eva Rocha","@evarochasalao","62981761077",4,4,28,"-16.69924950","-49.27719670","R. T-50, 1392 - St. Bueno, Goiânia - GO, 74150-170, Brazil","ChIJbT3VOTbxXpMRnMjx_MG5Sww","sem categoria","ativo",824,"2026-04-03",NULL,"74215200","GO","Goiânia","Setor Bueno","Rua T 50","1392","8b3c94e6-da6f-42a9-9270-ebe2c912983a","89df5afd-2725-4a92-a8ee-3cc5d833350c","2025-07-24 21:10:17.482+00","2025-10-28 20:32:03.309+00",10,False,NULL,NULL,NULL
"116f33f9-1e92-4b41-bc92-ed55e3aee399","ETIANE LUCIA MERGULHAO","@elzasbeleza","81987383881",1,1,16,"-8.11912190","-34.91982540","R. Bezerra de Carvalho, 12 - Imbiribeira, Recife - PE, 51190-410, Brasil","ChIJY0kOGUUeqwcRAdonZkX1H7Y","sem categoria","ativo",480,"2025-12-30",NULL,"51190410","PE","Recife","IMBIRIBEIRA","Rua Bezerra de Carvalho","12","f404bd28-8066-4ec9-8194-06f0db501ca4","9561bd61-0b7f-4231-a28c-cc7a2ed9e765","2025-07-30 20:56:56.674+00","2025-11-15 21:15:08.59+00",NULL,True,NULL,"2025-11-15",NULL
"233846f8-9344-470e-b76b-9eb6b0ee49c5","Mulher Bela Bicalho","@mulherbelabicalho","27998800415",1,1,1,"-20.25721300","-40.26679340","R. Italina Pereira Mota, nº 440 - Jardim Camburi, Vitória - ES, 29090-370, Brasil","ChIJ1x-XvawZuAARGZvu6sNU47Y","sem categoria","pendente",120,NULL,1,"29090370","ES","Vitória","Jardim Camburi","Rua Italina Pereira Motta","440",NULL,"f0bad400-6e0c-4de2-8f76-27a14d46f8f6","2025-10-28 22:52:59.878+00","2025-10-28 22:53:37.852+00",1,False,NULL,NULL,NULL
"4c0bc946-2b8e-442a-bb38-53eaf76d7a7a","Alvina Andrade Hair Staylist","@alvinaa_.as","73999786477",1,1,12,"-13.74780770","-39.49025150","R. Antônio Melo Lobo, 63, Gandu - BA, 45450-000, Brasil","EjhSLiBBbnTDtG5pbyBNZWxvIExvYm8sIDYzLCBHYW5kdSAtIEJBLCA0NTQ1MC0wMDAsIEJyYXppbCIwEi4KFAoSCXPUDDBYFz8HETHX-z5oAi1fED8qFAoSCatEEAZZFz8HEZViESk-7SHm","sem categoria","pendente",180,"2026-01-20",1,"45450000","BA","Gandu","Almir Pereira","Rua Antônio Mello Lobo","63",NULL,"85a4ed0d-3c4a-42ec-9cdb-114354cb6b24","2025-11-13 00:47:38.459+00","2025-11-13 03:14:06.312+00",1,False,NULL,"2025-11-13",NULL
"211e7201-505a-4baa-aa6a-98182cfe0706","Rose Hair","@roosehair","67992747562",0,0,0,"-20.49272960","-54.63172330","R. Otacílio Machado, 230 - Jardim Nhanha, Campo Grande - MS, 79081-410, Brasil","ChIJgQNlJt7lhpQRS4LNvEXfVbk","sem categoria","ativo",NULL,NULL,NULL,"79081410","MS","Campo Grande","Jardim Nhanha","Rua Otacílio Machado","230",NULL,"25d0ef37-01cb-4e9a-adc1-cbe64c6f9fab","2025-11-21 17:27:32.65+00","2025-11-21 17:28:12.383+00",NULL,False,NULL,NULL,NULL
"77b76201-f36b-48d0-888a-b03c07bccbe4","Espaço Estilosa Mulher","@rosileidesirianopereira","63984523447",2,2,5,"-10.17422250","-48.88750920","R. Barão do Rio Branco, 1743 - Vila Popular, Paraíso do Tocantins - TO, 77600-000, Brasil","ChIJV8qxn9FPI5MRJIMGqxoOccc","sem categoria","ativo",356,"2025-09-03",NULL,"77600000","TO","Paraíso do Tocantins","centro","Rua Barão do Rio Branco","1743","3bf4cf8d-761d-4af0-a459-c1836e945a37","be745e71-2694-409a-9445-9f1edcf77863","2025-07-30 20:53:21.565+00","2025-08-05 18:02:37.722+00",NULL,True,NULL,NULL,NULL
